"";"mfr";"potass"
"1";"K";320
"2";"K";330
"3";"G";70
"4";"K";30
"5";"G";100
"6";"G";105
"7";"G";45
"8";"G";105
"9";"G";55
"10";"K";35
"11";"K";20
"12";"G";65
"13";"K";160
"14";"K";30
"15";"G";120
"16";"K";30
"17";"K";25
"18";"K";100
"19";"K";190
"20";"G";45
"21";"G";90
"22";"K";60
"23";"K";95
"24";"G";40
"25";"G";55
"26";"K";160
"27";"G";90
"28";"K";40
"29";"K";130
"30";"K";90
"31";"G";120
"32";"K";45
"33";"K";240
"34";"G";140
"35";"K";110
"36";"K";35
"37";"K";40
"38";"K";55
"39";"G";35
"40";"G";230
"41";"G";110
"42";"G";60
"43";"G";25
"44";"G";110
"45";"G";60
