"";"calories";"fat";"protein";"sodium";"fiber";"carbo";"sugars";"rating"
"1";70;1;4;130;"10";"5";6;"68.402973"
"2";120;5;3;15;"2";"8";8;"33.983679"
"3";70;1;4;260;"9";"7";5;"59.425505"
"4";50;0;4;140;"14";"8";0;"93.704912"
"5";110;2;2;200;"1";"14";8;"34.384843"
"6";110;2;2;180;"1.5";"10.5";10;"29.509541"
"7";110;0;2;125;"1";"11";14;"33.174094"
"8";130;2;3;210;"2";"18";8;"37.038562"
"9";90;1;2;200;"4";"15";6;"49.120253"
"10";90;0;3;210;"5";"13";5;"53.313813"
"11";120;2;1;220;"0";"12";12;"18.042851"
"12";110;2;6;290;"2";"17";1;"50.764999"
"13";120;3;1;210;"0";"13";9;"19.823573"
"14";110;2;3;140;"2";"13";7;"40.400208"
"15";110;1;1;180;"0";"12";13;"22.736446"
"16";110;0;2;280;"0";"22";3;"41.445019"
"17";100;0;2;290;"1";"21";2;"45.863324"
"18";110;0;1;90;"1";"13";12;"35.782791"
"19";110;1;1;180;"0";"12";13;"22.396513"
"20";110;3;3;140;"4";"10";7;"40.448772"
"21";100;0;3;80;"1";"21";0;"64.533816"
"22";110;0;2;220;"1";"21";3;"46.895644"
"23";100;1;2;140;"2";"11";10;"36.176196"
"24";100;0;2;190;"1";"18";5;"44.330856"
"25";110;1;2;125;"1";"11";13;"32.207582"
"26";110;0;1;200;"1";"14";11;"31.435973"
"27";100;0;3;0;"3";"14";7;"58.345141"
"28";120;2;3;160;"5";"12";10;"40.917047"
"29";120;0;3;240;"5";"14";12;"41.015492"
"30";110;1;1;135;"0";"13";12;"28.025765"
"31";100;0;2;45;"0";"11";15;"35.252444"
"32";110;1;1;280;"0";"15";9;"23.804043"
"33";100;1;3;140;"3";"15";5;"52.076897"
"34";110;0;3;170;"3";"17";3;"53.371007"
"35";120;3;3;75;"3";"13";4;"45.811716"
"36";120;2;1;220;"1";"12";11;"21.871292"
"37";110;1;3;250;"1.5";"11.5";10;"31.072217"
"38";110;0;1;180;"0";"14";11;"28.742414"
"39";110;1;2;170;"1";"17";6;"36.523683"
"40";140;1;3;170;"2";"20";9;"36.471512"
"41";110;1;2;260;"0";"21";3;"39.241114"
"42";100;2;4;150;"2";"12";6;"45.328074"
"43";110;1;2;180;"0";"12";12;"26.734515"
"44";100;1;4;0;"0";"16";3;"54.850917"
"45";150;3;4;95;"3";"16";11;"37.136863"
"46";150;3;4;150;"3";"16";11;"34.139765"
"47";160;2;3;150;"3";"17";13;"30.313351"
"48";100;1;2;220;"2";"15";6;"40.105965"
"49";120;1;2;190;"0";"15";9;"29.924285"
"50";140;2;3;220;"3";"21";7;"40.692320"
"51";90;0;3;170;"3";"18";2;"59.642837"
"52";130;2;3;170;"1.5";"13.5";10;"30.450843"
"53";120;1;3;200;"6";"11";14;"37.840594"
"54";100;0;3;320;"1";"20";3;"41.503540"
"55";50;0;1;0;"0";"13";0;"60.756112"
"56";50;0;2;0;"1";"10";0;"63.005645"
"57";100;1;4;135;"2";"14";6;"49.511874"
"58";100;2;5;0;"2.7";"-1";-1;"50.828392"
"59";120;1;3;210;"5";"14";12;"39.259197"
"60";100;2;3;140;"2.5";"10.5";8;"39.703400"
"61";90;0;2;0;"2";"15";6;"55.333142"
"62";110;0;1;240;"0";"23";2;"41.998933"
"63";110;0;2;290;"0";"22";3;"40.560159"
"64";80;0;2;0;"3";"16";0;"68.235885"
"65";90;0;3;0;"4";"19";0;"74.472949"
"66";90;0;3;0;"3";"20";0;"72.801787"
"67";110;1;2;70;"1";"9";15;"31.230054"
"68";110;0;6;230;"1";"16";3;"53.131324"
"69";90;0;2;15;"3";"15";5;"59.363993"
"70";110;1;2;200;"0";"21";3;"38.839746"
"71";140;1;3;190;"4";"15";14;"28.592785"
"72";100;1;3;200;"3";"16";3;"46.658844"
"73";110;1;2;250;"0";"21";3;"39.106174"
"74";110;1;1;140;"0";"13";12;"27.753301"
"75";100;1;3;230;"3";"17";3;"49.787445"
"76";100;1;3;200;"3";"17";3;"51.592193"
"77";110;1;2;200;"1";"16";8;"36.187559"
